review,actual_sentiment,predicted_sentiment,positive_probability,correct,confidence
this is a great movie i love the series on tv and so i loved the movie one of the best things in the movie is that finally admits her deepest darkest secret to arnold that was great i loved it it was pretty funny too it's a great movie,0,1,0.994188,False,0.994188
this film got terrible reviews but because it was offbeat and because critics don't usually get offbeat films i thought i'd give it a try unfortunately they were largely right in this instance br br the film just has an awkward feel too it that is most off putting the sort of feel that is impossible to describe but it's not a good one to further things the script is a dull thing that is only vaguely interesting br br the immensely talented thurman just through this mess creating barely an impact hurt and try in vain to add something to the film with enthusiastic performance but there is nothing in the script it may have been less embarrassing for them if they had merely chosen to drift and get it over with like thurman br br one thing the film critics did fail to mention however is that the film is actually quite funny whether it be moments of accurate satire or some outrageously weird moments like when the in question chase hurt off their ranch with the smell of their front br br because of the throughout while i wouldn't recommend this film there is entertainment to be had and watching even get the blues is worthwhile for something different,1,0,0.007836574,False,0.9921634
actually i'll admit i'm a political so this with me but the nature of ms green yes i know what they did to her but the ending was such a and totally inconsistent with the film itself br br why can't barry l and crew just left us wondering what he was going to do let us debate it br br instead they have this oh i'm not worthy ending and it just shows that when the were down it's better to leave the table instead of down stop the disney ending and putting a bow on it life isn't easy they should have had the courage to give the main character some br br we had to listen to the the entire movie and then it turned and the stupid inane behavior by ms green when the crap was out of her system just made for a ridiculous near end of the movie that was on the cake,1,0,0.011400725,False,0.9885993
lois film was and still kind of is a very bold and daring film i enjoyed it and was very impressed by the filming and story of it the priest sees the of the people in his church and tries to show them the naked truth the people are appalled when he reveals the naked statue portraying truth after failing to lead them to it and the few that did help along the way the people do not want to face the truth that they are doing anything wrong but it shows them putting things before god going to beach parties acting inappropriate their ways and other things in which the people of our world do that tend to not be morally right in the end failing to gain any followers he must enter into the gates of heaven alone this film seems to me to be very bold in the fact that a naked woman is shown throughout it especially considering the time period in which this film was made the imagery and symbolism portrayed in this movie i found incredible the way they made the naked woman and using a naked woman to the naked truth shows a lot of creativity and art showing the different sins of the people as they walked down the road and refused to follow along the path each with different excuses and or higher was a great way of representing the people of today this film does a very good job of getting the moral message across to its audience lois has a tremendous way of capturing her attention with her creativity symbolism visuals and through even the music of the piano throughout this film is very beautiful and fitting with the whole theme,0,1,0.9877076,False,0.9877076
my sisters and my cousin female forced me to see this chick movie its not the kind of movie i would prefer to see but it really wasn't that bad i wouldn't want to see this movie but after watching it i couldn't say it was bad just not my kind of film it was very accurate in acting out what woman really talk about and do in certain situations as a guy i wasn't too amused by the jokes but man the women sure were they related to the movie and yeah it was funny to see themselves on the big screen oh em gee i do that to haha i've never seen the original nor would i care to if you are a girl this is a must see but maybe girls would say this movie sucked probably i don't see a year old going wow i remember going threw that when i was br br no man would have this in there collection but i can't say it was horrible so,1,0,0.01724719,False,0.9827528
i recently saw the broadway revival of spirit starring angela lansbury rupert everett christine and it's a terrific production and shows what good actors can do with a play that is less than perfect angela lansbury is extremely funny as br br it was probably a mistake then to check out the film version of the play starring rex harrison the movie does not have the energy or the laughs of a good stage production br br spirit is probably one of those plays that works better with a live cast in an audience full of people who have come to laugh the actors can give touches and nuances to their performance and delivery of the lines and involve the audience on a personal level that you can't get in a movie house or with a dvd showing where the audience is separated from the story by the fourth wall the story charles rex harrison a successful writer lives with his wife ruth in a house in the english countryside seeking information for his next book a book dealing with the supernatural charles invites margaret her role from the original london production a local spiritual medium over to his house to conduct a charles believes that is a but hopes to pick up the tricks of the trade but then brings back the ghost of elvira first wife who died of seven years ago elvira refuses to leave and develops a spitting rivalry with ruth over charles complicated by the fact that only charles can see or hear elvira br br on stage the actors can give performances that invite laughs in this situation but on the screen the actors in spirit tear through the lines as if they don't know that anyone is listening to them they lines that were designed to get laughs on the stage the performances by harrison and even are flat and lifeless only margaret seems to have her spark and humor as br br the oscar winning visual effects in the film are unimpressive not just by today's standards but by the standards of they consist mostly of walking around in green outfits and makeup being photographed in special lighting to make her look like a glowing ghost br br the cinematographer deserves some credit for creative lighting but compare the dull visual effects of spirit to the truly groundbreaking effects in disney's song of the south which was for awards the same year in south humans and animated characters share the screen for minutes at a time compared to south the oscar that spirit received for special effects was completely br br at any rate i can only encourage you to catch the broadway revival of this play with angela lansbury before it as for the movie with rex harrison skip it,0,1,0.98147696,False,0.98147696
okay yes this was a very tight budget movie with continuity errors like single scenes obviously filmed in sunshine and then in shadow and then mixed together and as much as i love nick he was often a little too good at the burnt out part and some of the minor supporting cast was really bad plus at least one actor was used for two different but roles but come on richard was hysterical his hair alone is worth the trip steven ford was very likable had some great lines while nancy allen ironically was completely bland and uninteresting classic no bad parts yes entertaining big yes i would have loved to have been on set the day they decided what kind of would have are you fast that fast,1,0,0.018628934,False,0.98137105
i saw this movie when mystery science theater ran it in it is the worst thing i've ever seen so bad in fact that by sheer this movie must get a ten rating because it has to be seen to be believed br br whoever wrote this script with children in mind should be beaten i mean really the devil vs santa visions of hell creepy laughing wind up forced child labor with racial stereotypes it ain't street that's for sure as crow during the mst k showing this is good ol' fashioned nightmare fuel br br there's plenty of weird innuendo and screwed up presumably the hangs out with santa in his crazy castle in the clouds i e heaven santa talks about baby jesus and sends letters to mr for children who ask for siblings there are symbols around the castle that either look like or stars br br my best friend and i have watch it every year since and we subject anybody we can hold down for hours to watch it with us,1,0,0.020766879,False,0.97923315
i saw this movie with hopes of a good laugh but when i watched it i didn't stop laughing for weeks they are such bad actors and it made this movie so much funnier to watch btw ryan didn't eat the toy car he shoved it up his ass the random appearances from the and parts were great some no your are at the store i wouldn't recommend any one under to watch it frankly they wouldn't understand half of the jokes in or what they are talking about i love and after watching this movie i couldn't help but go buy it or the la series what is the deal with this stupid comment thing it has to be lines what kind of bull is that i should be able to write one as long or in this case as short as i want i'm just going to keep until it tells me i can actually send it its just a waste of time i expected to just say what i wanted it wasn't too much but then i'm told i have to keep putting more in and then it my spelling so what if i didn't spell something right you get what i mean still this is ridiculously long br br those who live by the sword get shot by those who don't,1,0,0.02272205,False,0.97727793
okay let's face it this is a god awful movie the plot such as it is is horrible the acting worse but the movie was made for one reason and one reason only like all of those awful mario lanza movies just to hear the voice of the star in this case pavarotti in his prime okay so maybe the lanza movies were also an excuse for him to hit on women but this movie is about hearing that alone is worth watching the movie a big opera star stuck on himself faces his fears finds and love along the way and out a lot of hit numbers too br br i must admit i'm on a number of levels i'm italian i'm a big pavarotti fan is there anything about pavarotti that isn't big including his fan base and when i first saw this movie i was going out on my own seeing the height and depth of life's possibilities and in love for the first time so as awful as this movie is the beautiful voice and memories are enough to make me breathe deep of life and love again br br yes it's corny and awful but the voice is immortal and timeless and the voice is what it's all about so i give this movie a high rating in hopes that someone who has never heard pavarotti before will listen and watch and enjoy a new level of music and love especially since he is now gone like italian food that you've never tried before try it you may be pleasantly surprised as a lover or pavarotti,1,0,0.022976981,False,0.977023
to confess having fantasies about brad pitt is a pretty tough admission for an to make but what can i tell you maybe is that famous extra something that everybody talks about and makes a star a star it crosses that it pulls you into unknown sensual and emotional territory brando had it in gary cooper james dean of course and in more recent times tom cruise jude law johnny ewan and billy women fell in love with garbo and audrey hepburn grace kelly marilyn monroe julie christie charlotte meryl streep vanessa redgrave julia roberts and very very recently natalie portman but brad pitt has the concept he is the only reason to go out get in the car find parking buy a ticket popcorn and get into a theatre to see if you liked epics in the darling style you may enjoy this but if you don't go all the same we want to keep brad pitt in business,0,1,0.97432613,False,0.97432613
given this film's incredible reviews i was expecting something truly exceptional it certainly starts well with witty and sharp dialogue and a fine cast in place a series of robert altman style stories reel the viewer in with some compelling scenes i found it gripping entertainment right through to the second half of the film when sadly it like a pack of cards a series of ludicrous and right on messages stack up until i'm left deeply disappointed and wondering what all the fuss is about paul has the subject of race in la and that alone seems to have this movie to a new level of interest given that most of the academy voters live in la and have experienced racism to some extent this film is sure to have an impact on them that means the oscar for best picture will go to the race movie or the gay movie let's hope it is the latter because mountain is a masterpiece that deserves recognition,0,1,0.97395927,False,0.97395927
this show is awesome and we have been enjoying it thoroughly set in i don't agree with the homosexual content on show i feel that you are pushing too hard to bring new york to its one thing to have a new struggling in the wild but to try to turn the town into new york this is a nice show about women and true men and to bring a same sex couple into the mix is throwing the balance way off should be portrayed as a man and new york as the woman i think the first shows have the perfect balance with what you all are doing can't we have a nice show without the of nature,0,1,0.97318316,False,0.97318316
i must say i thought i had seen it all i am an extremely jaded movie buff this movie didn't shock me by any means i'm way past that point but it did take me to certain emotional places i didn't know i could go to i had no idea i could ever find the idea of erotic never never never ever ever but there you go he did it i have to give the director credit he pulled it off br br for the first minutes this movie is a total bore we off with some very explicit footage of two horses having sex after five minutes of this i started wondering if buying this movie wasn't a mistake then an old guy in a wheelchair talks to some other old guy about two people getting married then some nervous guy then we see briefly a hot chick getting it on with a butler but this is very brief at this point i was the movie out loud while trying to stay awake in fact i fell asleep at about the minute mark and forced myself to finish it the next night br br we finally get the good stuff when a girl who knows who she is or who anyone is in this movie has a dream about a victorian era gal being by a beast thing in the forest the scene goes on for quite some time and is really the meat of the whole deal it's beautifully shot superbly edited and does deliver the goods they do try to wrap up the plot at the end and it sort of makes sense but sort of doesn't either oh well i would definitely recommend this film the first minutes made me want to shoot myself and my tv but the last minutes totally it,1,0,0.029817386,False,0.9701826
there are moments in the film that are so dreadful your teeth but knowing that there were only weeks left before the code made movies and bland paramount rushed this into production before innuendo and went out of style is so anti female that it's delicious as kitty sings women are displayed with price that would insult a hooker they emerge from in of absolute of the law so stupid they cannot find the door get to look up their and bare chorus girls sit in giant could they be a source of perhaps while we listen to sweet marijuana and watch as blood falls on a breast br br sure carl learned his lines and doesn't seem to have a clue what he is saying but it's all worth it as norma steals the show while no one is looking br br taking one moment of this fragile fluff seriously is missing the point of the whole exercise watch this with a member of now and prepare to justify the whole hollywood between body blows br br toby wing by the way is the on the cake and duke doesn't hurt either br br a must down memory lane,1,0,0.032991286,False,0.9670087
great cult flick for types richard is a mess bad hair even his dark glasses aren't right about as good as a bad flick can get actually that was pretty cool maybe spielberg should take a couple of notes from that one,1,0,0.03336144,False,0.96663857
sure it was well shot and made very well shot and made but the story was just so weak and the portrayal of lincoln was even weaker not that henry fonda wasn't good but the character he played was nothing but a do you mean to tell me that lincoln was a wise cracking smart ass with no respect of the law or the court i mean who the hell was he supposed to be cousin i mean come on i'll just call you jackass then i understand that ford was going for great funny hero guy but i didn't really like this guy at all he in sports talks like a real sweet and does not seem to know were to sit in a courtroom how am i supposed to take this seriously br br the twist was even weaker i mean come on that was just stupid the whole story seemed like it was thought up by some year old in his or her dreams saying that i liked it enough it was very entertaining and made me laugh at several occasions so i can't say it's a bad film in fact i must say that i must say it's good enough nothing that entertains me and makes me laugh can be bad but this vivid and silly story was just so ridiculous that i can't understand how anyone could consider it great br br i have no idea how historically accurate this film was but if any of it was true i would really have to shake my head,1,0,0.03541596,False,0.96458405
i enjoyed this series but felt that the whole thing was let down by the sound recording mixing br br for whatever reason they've had to employ an awful lot of what's called where the actors replace the original location sound with a re recording of it in a sound booth br br the reasons for doing this are usually due to problems at the location or because somebody screwed up somewhere in the sound production chain br br it wouldn't be so bad if the was done well but at times it's just plain distracting it's not just the that's the problem the sound mix just doesn't match up to the quality of performances and the pictures br br i'd be curious to know what went wrong,1,0,0.036669068,False,0.9633309
