original_text,cleaned_text,without_stopwords,sentiment
<START> this movie scared the hell out of me for no good reason the eerie music was well written but other than that its a complete waste of time and it really disturbed me i'm not really sure why either if you just want to see a bad <UNK> horror movie i guess you could give it a shot but only as a last resort,this movie scared the hell out of me for no good reason the eerie music was well written but other than that its a complete waste of time and it really disturbed me i'm not really sure why either if you just want to see a bad horror movie i guess you could give it a shot but only as a last resort,movie scared hell good reason eerie music well written complete waste time really disturbed really sure either want see bad horror movie guess could give shot last resort,0
<START> the plot of this film is not complicated a very attractive young girl goes to europe in search of the reasons for her older sister's suicide ten years earlier there she meets up with her sister's former boyfriend and together they travel to all the places her sister went and gradually the reasons become clear br br but what makes this film so special and <UNK> above the limited plot are the beautiful portrayals of the characters although the older sister's boyfriend is a drop out hippie he has noble ideals moral standards and incredible strengths and although the older sister who we see in flashbacks shares these ideals she doesn't have a sense of <UNK> or balance of how much is too much and although the younger girl is <UNK> loyal to her sister's memory she gradually finds the strength to face the fact that her sister was only a normal girl after all br br the most special moment in the film is when the young girl and the sister's boyfriend finally stop fighting their attraction to each other i can't recall ever seeing more beautiful touching romantic <UNK> in <UNK> in a film br br in all these ways this is a truly beautiful film a film to be <UNK> and to be seen again and again 9 out of 10,the plot of this film is not complicated a very attractive young girl goes to europe in search of the reasons for her older sister's suicide ten years earlier there she meets up with her sister's former boyfriend and together they travel to all the places her sister went and gradually the reasons become clear br br but what makes this film so special and above the limited plot are the beautiful portrayals of the characters although the older sister's boyfriend is a drop out hippie he has noble ideals moral standards and incredible strengths and although the older sister who we see in flashbacks shares these ideals she doesn't have a sense of or balance of how much is too much and although the younger girl is loyal to her sister's memory she gradually finds the strength to face the fact that her sister was only a normal girl after all br br the most special moment in the film is when the young girl and the sister's boyfriend finally stop fighting their attraction to each other i can't recall ever seeing more beautiful touching romantic in in a film br br in all these ways this is a truly beautiful film a film to be and to be seen again and again out of,plot film complicated attractive young girl goes europe search reasons older sister's suicide ten years earlier meets sister's former boyfriend together travel places sister went gradually reasons become clear br br makes film special limited plot beautiful portrayals characters although older sister's boyfriend drop hippie noble ideals moral standards incredible strengths although older sister see flashbacks shares ideals sense balance much much although younger girl loyal sister's memory gradually finds strength face fact sister normal girl br br special moment film young girl sister's boyfriend finally stop fighting attraction can't recall ever seeing beautiful touching romantic film br br ways truly beautiful film film seen,1
<START> after <UNK> the boat at the end of the previous episode three minutes the survivors are shocked to find out who the <UNK> is with the use of the boat jack and <UNK> come up with a plan to confront the others however when jack <UNK> kate and <UNK> follow michael to the others jack is forced to reveal michael's deadly secret whilst they are in the middle of nowhere br br meanwhile locke decides that the time has come to find out the time has come to find out what will happen if the button is not pressed however mr resolve to continue <UNK> the button is surprisingly strong so when locke <UNK> a plan to lock <UNK> out of the <UNK> with the help of an ally <UNK> goes to surprisingly desperate <UNK> to stop locke from making what he believes will be a big mistake br br this is a classic episode of lost full of secrets suspense and very few answers to the many questions it poses to its viewers however some of the secrets this action packed episode reveals will be truly shocking to the fans there is also a trademark end of season cliffhanger which achieves the feat of being both shocking and extremely confusing one thing is guaranteed it will keep you guessing right to the very end and you will still be frustrated with more mind <UNK> questions as you wait in agony for the third season to begin,after the boat at the end of the previous episode three minutes the survivors are shocked to find out who the is with the use of the boat jack and come up with a plan to confront the others however when jack kate and follow michael to the others jack is forced to reveal michael's deadly secret whilst they are in the middle of nowhere br br meanwhile locke decides that the time has come to find out the time has come to find out what will happen if the button is not pressed however mr resolve to continue the button is surprisingly strong so when locke a plan to lock out of the with the help of an ally goes to surprisingly desperate to stop locke from making what he believes will be a big mistake br br this is a classic episode of lost full of secrets suspense and very few answers to the many questions it poses to its viewers however some of the secrets this action packed episode reveals will be truly shocking to the fans there is also a trademark end of season cliffhanger which achieves the feat of being both shocking and extremely confusing one thing is guaranteed it will keep you guessing right to the very end and you will still be frustrated with more mind questions as you wait in agony for the third season to begin,boat end previous episode three minutes survivors shocked find use boat jack come plan confront others however jack kate follow michael others jack forced reveal michael's deadly secret whilst middle nowhere br br meanwhile locke decides time come find time come find happen button pressed however mr resolve continue button surprisingly strong locke plan lock help ally goes surprisingly desperate stop locke making believes big mistake br br classic episode lost full secrets suspense answers many questions poses viewers however secrets action packed episode reveals truly shocking fans also trademark end season cliffhanger achieves feat shocking extremely confusing one thing guaranteed keep guessing right end still frustrated mind questions wait agony third season begin,1
<START> i have to agree with cal <UNK> it's a great movie specially for the family kelly <UNK> is beautiful the little girl is really talented and cute of course jim belushi has earned his <UNK> but want i really liked was the piano song if you're a musician or not watch this movie just for that you'll know which it is br br you're nobody till somebody loves you written by russ morgan larry stock and james <UNK> br br so have fun watching br br see ya br br nelson,i have to agree with cal it's a great movie specially for the family kelly is beautiful the little girl is really talented and cute of course jim belushi has earned his but want i really liked was the piano song if you're a musician or not watch this movie just for that you'll know which it is br br you're nobody till somebody loves you written by russ morgan larry stock and james br br so have fun watching br br see ya br br nelson,agree cal great movie specially family kelly beautiful little girl really talented cute course jim belushi earned want really liked piano song musician watch movie know br br nobody till somebody loves written russ morgan larry stock james br br fun watching br br see ya br br nelson,1
<START> loosely based on the james j corbett biography the <UNK> of the crowd gentleman jim is a wonderfully <UNK> picture that perfectly <UNK> not only the rise of the <UNK> <UNK> that was corbett but also the wind of change as regards the sport of boxing circa the <UNK> br br the story follows corbett a perfectly casted errol flynn from his humble <UNK> as a bank <UNK> in san <UNK> thru to a chance fight with an ex boxing champion that eventually leads to him fighting the <UNK> <UNK> champion of the world john l sullivan <UNK> <UNK> delightfully by ward bond not all the fights are in the ring tho and it's all the spin off vignettes in <UNK> life that makes this a grand entertaining picture there are class issues to overcome here perfectly played out as fellow club members pay to have him knocked down a <UNK> or two and corbett has to not only fight to get respect from his so called peers but he must also overcome his ego as it grows as <UNK> as his reputation does along with the quite wonderful corbett family and all their stoic humorous support <UNK> journey is as enthralling as it is <UNK> yet as <UNK> and as bold as he is he is a very likable character and it's a character that <UNK> the <UNK> <UNK> he got of gentleman jim br br the film never <UNK> for one moment and it's a testament to director <UNK> walsh that although we are eagerly awaiting the final fight the outer ring goings on are keeping us firmly entertained not even the love interest sub plot hurts this picture thank you <UNK> smith the fight sequences stand up really well and they perfectly show just how corbett became the <UNK> he was his brand of dancing rings round <UNK> fighters is now firmly placed in boxing history as the final reel rolls we all come down to earth as an after fight meeting between sullivan and corbett puts all the brutality into context and it's here where <UNK> and <UNK> becomes the outright winner and as far as this viewer goes it will do for me to be sure to be sure 9 10 for a truly wonderful picture,loosely based on the james j corbett biography the of the crowd gentleman jim is a wonderfully picture that perfectly not only the rise of the that was corbett but also the wind of change as regards the sport of boxing circa the br br the story follows corbett a perfectly casted errol flynn from his humble as a bank in san thru to a chance fight with an ex boxing champion that eventually leads to him fighting the champion of the world john l sullivan delightfully by ward bond not all the fights are in the ring tho and it's all the spin off vignettes in life that makes this a grand entertaining picture there are class issues to overcome here perfectly played out as fellow club members pay to have him knocked down a or two and corbett has to not only fight to get respect from his so called peers but he must also overcome his ego as it grows as as his reputation does along with the quite wonderful corbett family and all their stoic humorous support journey is as enthralling as it is yet as and as bold as he is he is a very likable character and it's a character that the he got of gentleman jim br br the film never for one moment and it's a testament to director walsh that although we are eagerly awaiting the final fight the outer ring goings on are keeping us firmly entertained not even the love interest sub plot hurts this picture thank you smith the fight sequences stand up really well and they perfectly show just how corbett became the he was his brand of dancing rings round fighters is now firmly placed in boxing history as the final reel rolls we all come down to earth as an after fight meeting between sullivan and corbett puts all the brutality into context and it's here where and becomes the outright winner and as far as this viewer goes it will do for me to be sure to be sure for a truly wonderful picture,loosely based james j corbett biography crowd gentleman jim wonderfully picture perfectly rise corbett also wind change regards sport boxing circa br br story follows corbett perfectly casted errol flynn humble bank san thru chance fight ex boxing champion eventually leads fighting champion world john l sullivan delightfully ward bond fights ring tho spin vignettes life makes grand entertaining picture class issues overcome perfectly played fellow club members pay knocked two corbett fight get respect called peers must also overcome ego grows reputation along quite wonderful corbett family stoic humorous support journey enthralling yet bold likable character character got gentleman jim br br film never one moment testament director walsh although eagerly awaiting final fight outer ring goings keeping us firmly entertained even love interest sub plot hurts picture thank smith fight sequences stand really well perfectly show corbett became brand dancing rings round fighters firmly placed boxing history final reel rolls come earth fight meeting sullivan corbett puts brutality context becomes outright winner far viewer goes sure sure truly wonderful picture,1
<START> i found the first bit of stop motion animation intriguing and the mostly live action short with the girl going about in whatever country it was kept my interest but the other 11 odd shorts really didn't <UNK> my interest or make me think of anything at all the music and <UNK> footage all seemed to be so random that it all just seemed random i would not recommend this to any one unless you get to see it free br br as for the music being so in step that didn't come across either i rented the dvd because i thought it was all stop motion animation or mixed with live action and only the first short was the second had a little stop motion mixed with mostly live action there was paper cut out stuff in one and the rest was <UNK> shots from an <UNK> camera with the music bed just didn't have any meaning to it i could see,i found the first bit of stop motion animation intriguing and the mostly live action short with the girl going about in whatever country it was kept my interest but the other odd shorts really didn't my interest or make me think of anything at all the music and footage all seemed to be so random that it all just seemed random i would not recommend this to any one unless you get to see it free br br as for the music being so in step that didn't come across either i rented the dvd because i thought it was all stop motion animation or mixed with live action and only the first short was the second had a little stop motion mixed with mostly live action there was paper cut out stuff in one and the rest was shots from an camera with the music bed just didn't have any meaning to it i could see,found first bit stop motion animation intriguing mostly live action short girl going whatever country kept interest odd shorts really interest make think anything music footage seemed random seemed random would recommend one unless get see free br br music step come across either rented dvd thought stop motion animation mixed live action first short second little stop motion mixed mostly live action paper cut stuff one rest shots camera music bed meaning could see,0
<START> to be fair i couldn't bear to watch this movie all the way thru so i have no idea if it suddenly gets better half way thru the film but the first 30 minutes or so are amongst the worst i have seen in a while children under twelve might get a kick out of the poorly written acted and directed slapstick humor but adults in full control of all their <UNK> should steer clear of this stinker,to be fair i couldn't bear to watch this movie all the way thru so i have no idea if it suddenly gets better half way thru the film but the first minutes or so are amongst the worst i have seen in a while children under twelve might get a kick out of the poorly written acted and directed slapstick humor but adults in full control of all their should steer clear of this stinker,fair bear watch movie way thru idea suddenly gets better half way thru film first minutes amongst worst seen children twelve might get kick poorly written acted directed slapstick humor adults full control steer clear stinker,0
<START> this movie is a blatant attempt by the left in hollywood to portray <UNK> administration as incompetent and <UNK> some mistakes may have been made at the time of the crisis but i'm sure not to the extent portrayed in this lame movie my first reaction was that this movie had to have been directed by oliver stone but i was wrong this time there are apparently many others,this movie is a blatant attempt by the left in hollywood to portray administration as incompetent and some mistakes may have been made at the time of the crisis but i'm sure not to the extent portrayed in this lame movie my first reaction was that this movie had to have been directed by oliver stone but i was wrong this time there are apparently many others,movie blatant attempt left hollywood portray administration incompetent mistakes may made time crisis sure extent portrayed lame movie first reaction movie directed oliver stone wrong time apparently many others,0
<START> yet another die hard straight to video rip off with cardboard <UNK> how many more of these god awful cheaply and badly made rip off of the more popular action movies of the late 1980's and early 1990's are there still lurking out there for the record not that you will care really this one is yet another blatant rip off of a combination of die hard under siege and speed 2 complete with a full <UNK> of clichés and predictability br br the non <UNK> villains are the usual selection of cardboard cut out gun <UNK> thugs who are <UNK> by various means as the film progresses the hero naturally is an ex cop or something that has family and attitude problems and of course he brings along to the party not only the usual emotional <UNK> but also a matching piece of eye candy and his annoying son br br the supposed luxury cruise liner that is running between florida and mexico is carefully described as a cross between a liner and a ferry  this goes <UNK> to explaining how come they appear to be <UNK> around on a rusty cross channel ferry  in new zealand the acting is as wooden as the deck the script <UNK> the one liners predictable the villains utterly inept and the plot has holes in it you could <UNK> a boat through br br there seems to be a never ending tide of this sort of rip off straight to video rubbish <UNK> the late night <UNK> of television and the dvd bargain <UNK> of <UNK> everywhere although even this film is so bad it has yet to see a dvd release yet but give it time is there any chance of something at least half <UNK> made semi believable and most important original no i thought <UNK>,yet another die hard straight to video rip off with cardboard how many more of these god awful cheaply and badly made rip off of the more popular action movies of the late 's and early 's are there still lurking out there for the record not that you will care really this one is yet another blatant rip off of a combination of die hard under siege and speed complete with a full of clich s and predictability br br the non villains are the usual selection of cardboard cut out gun thugs who are by various means as the film progresses the hero naturally is an ex cop or something that has family and attitude problems and of course he brings along to the party not only the usual emotional but also a matching piece of eye candy and his annoying son br br the supposed luxury cruise liner that is running between florida and mexico is carefully described as a cross between a liner and a ferry this goes to explaining how come they appear to be around on a rusty cross channel ferry in new zealand the acting is as wooden as the deck the script the one liners predictable the villains utterly inept and the plot has holes in it you could a boat through br br there seems to be a never ending tide of this sort of rip off straight to video rubbish the late night of television and the dvd bargain of everywhere although even this film is so bad it has yet to see a dvd release yet but give it time is there any chance of something at least half made semi believable and most important original no i thought,yet another die hard straight video rip cardboard many god awful cheaply badly made rip popular action movies late 's early 's still lurking record care really one yet another blatant rip combination die hard siege speed complete full clich predictability br br non villains usual selection cardboard cut gun thugs various means film progresses hero naturally ex cop something family attitude problems course brings along party usual emotional also matching piece eye candy annoying son br br supposed luxury cruise liner running florida mexico carefully described cross liner ferry goes explaining come appear around rusty cross channel ferry new zealand acting wooden deck script one liners predictable villains utterly inept plot holes could boat br br seems never ending tide sort rip straight video rubbish late night television dvd bargain everywhere although even film bad yet see dvd release yet give time chance something least half made semi believable important original thought,0
<START> this is easily my favourite film a tragic romance <UNK> with a complex mystery whose threads are all but invisible until they all unravel at the end in one fantastic rush sheer brilliance br br i'd love to see some more of <UNK> work but at least according to imdb he hasn't made any other features has the high quality of this work made producing another too <UNK> a task has he moved back into some other <UNK> of creative <UNK> i certainly hope this won't be his final feature but i can't really blame him if he decides to stop with this gem as his only contribution to the world of feature films,this is easily my favourite film a tragic romance with a complex mystery whose threads are all but invisible until they all unravel at the end in one fantastic rush sheer brilliance br br i'd love to see some more of work but at least according to imdb he hasn't made any other features has the high quality of this work made producing another too a task has he moved back into some other of creative i certainly hope this won't be his final feature but i can't really blame him if he decides to stop with this gem as his only contribution to the world of feature films,easily favourite film tragic romance complex mystery whose threads invisible unravel end one fantastic rush sheer brilliance br br love see work least according imdb made features high quality work made producing another task moved back creative certainly hope final feature can't really blame decides stop gem contribution world feature films,1
